Ticket_ID,Date,Category,Submitted_By,Assigned_To,Handle_Minutes,Status
TCK-1073,2026-02-20,Tax form (W-9/W-8),creator_vinetrellis,Ops Support,45,Closed
TCK-1074,2026-02-20,Payout question,creator_willowbend,Ops Support,50,Closed
TCK-1075,2026-02-23,Thumbnail re-upload,creator_xylophone,Ops Support,20,Closed
TCK-1076,2026-02-23,Thumbnail re-upload,creator_yewberry,Ops Support,25,Closed
TCK-1077,2026-02-24,Tax form (W-9/W-8),creator_zephyrhill,Ops Support,45,Closed
TCK-1078,2026-02-24,Account access,creator_alderwood,Ops Support,25,Closed
TCK-1079,2026-02-25,Thumbnail re-upload,creator_bramblerose,Ops Support,20,Closed
TCK-1080,2026-02-25,Login issue,creator_cloudbank,Ops Support,10,Closed
TCK-1081,2026-02-26,Tax form (W-9/W-8),creator_dappledlight,Ops Support,50,Closed
TCK-1082,2026-02-26,Thumbnail re-upload,creator_ebbtide,Ops Support,25,Closed
TCK-1083,2026-02-27,Payout question,creator_fallowfield,Ops Support,55,Closed
TCK-1084,2026-02-27,Thumbnail re-upload,creator_glimmerpond,Ops Support,20,Closed
TCK-1085,2026-03-02,Tax form (W-9/W-8),creator_heathermoor,Ops Support,45,Closed
TCK-1086,2026-03-02,Thumbnail re-upload,creator_ironbark,Ops Support,25,Closed
TCK-1087,2026-03-03,Thumbnail re-upload,creator_jasminevine,Ops Support,20,Closed
TCK-1088,2026-03-03,Tax form (W-9/W-8),creator_kettlepond,Ops Support,45,Closed
TCK-1089,2026-03-04,Login issue,creator_lilypad,Ops Support,10,Closed
TCK-1090,2026-03-04,Payout question,creator_marshland,Ops Support,50,Closed
TCK-1091,2026-03-05,Thumbnail re-upload,creator_nutmeghill,Ops Support,20,Closed
TCK-1092,2026-03-05,Thumbnail re-upload,creator_orchardgate,Ops Support,25,Closed
TCK-1093,2026-03-06,Tax form (W-9/W-8),creator_pussywillow,Ops Support,40,Closed
TCK-1094,2026-03-06,Content takedown,creator_quietbrook,Ops Support,45,Closed
TCK-1095,2026-03-09,Thumbnail re-upload,creator_rookery,Ops Support,20,Closed
TCK-1096,2026-03-09,Thumbnail re-upload,creator_saltmarsh,Ops Support,25,Closed
TCK-1097,2026-03-10,Tax form (W-9/W-8),creator_thistledown,Ops Support,45,Closed
TCK-1098,2026-03-10,Login issue,creator_underwood,Ops Support,10,Closed
TCK-1099,2026-03-11,Payout question,creator_verdantglen,Ops Support,50,Closed
TCK-1100,2026-03-11,Thumbnail re-upload,creator_waxwing,,20,Closed
TCK-1101,2026-03-12,Tax form (W-9/W-8),creator_xanthegold,Ops Support,45,Closed
TCK-1102,2026-03-12,Thumbnail re-upload,creator_yonderfield,Ops Support,25,Closed
TCK-1103,2026-03-13,Account access,creator_zealouspeak,Ops Support,25,Closed
TCK-1104,2026-03-13,Thumbnail re-upload,creator_arborvale,Ops Support,20,Closed
TCK-1105,2026-03-16,Tax form (W-9/W-8),creator_bayberry,Ops Support,50,Closed
TCK-1106,2026-03-16,Thumbnail re-upload,creator_cinderpath,Ops Support,25,Closed
TCK-1107,2026-03-17,Payout question,creator_driftshore,Ops Support,55,Closed
TCK-1108,2026-03-17,Thumbnail re-upload,creator_elderflower,Ops Support,20,Closed
TCK-1109,2026-03-18,Tax form (W-9/W-8),creator_foampeak,Ops Support,45,Closed
TCK-1110,2026-03-18,Login issue,creator_grottoblue,Ops Support,10,Closed
TCK-1111,2026-03-19,Thumbnail re-upload,creator_hillcrest,Ops Support,20,Closed
TCK-1112,2026-03-19,Thumbnail re-upload,creator_inletcove,Ops Support,25,Closed
TCK-1113,2026-03-20,Tax form (W-9/W-8),creator_juniperhill,Ops Support,45,Closed
TCK-1114,2026-03-20,Payout question,creator_kestrelridge,Ops Support,50,Closed
TCK-1115,2026-03-23,Thumbnail re-upload,creator_lowtide,Ops Support,20,Closed
TCK-1116,2026-03-23,Thumbnail re-upload,creator_meadowlark,Ops Support,25,Closed
TCK-1117,2026-03-24,Tax form (W-9/W-8),creator_nightjar,Ops Support,45,Closed
TCK-1118,2026-03-24,Account access,creator_overlook,Ops Support,25,Closed
TCK-1119,2026-03-25,Thumbnail re-upload,creator_palebeach,Ops Support,20,Closed
TCK-1120,2026-03-25,Login issue,creator_quaildale,Ops Support,10,Closed
TCK-1121,2026-03-26,Tax form (W-9/W-8),creator_ridgeback,Ops Support,35,Closed
TCK-1122,2026-03-26,Thumbnail re-upload,creator_sablecreek,Ops Support,15,Closed
TCK-1123,2026-03-27,Payout question,creator_tanglewood,Ops Support,40,Closed
TCK-1124,2026-03-27,Thumbnail re-upload,creator_uplandmoor,Ops Support,20,Closed
TCK-1125,2026-03-30,Tax form (W-9/W-8),creator_vesperbay,Ops Support,30,Closed
TCK-1126,2026-03-30,Thumbnail re-upload,creator_wrenfield,Ops Support,15,Closed
TCK-1127,2026-03-30,Thumbnail re-upload,creator_yarrowhill,Ops Support,20,Open
TCK-1128,2026-03-31,Tax form (W-9/W-8),creator_zinniadell,Ops Support,30,Open
TCK-1129,2026-03-31,Payout question,creator_ashenmoor,Ops Support,35,Closed
TCK-1130,2026-03-31,Thumbnail re-upload,creator_blueheron,Ops Support,15,Closed
TCK-1131,2026-01-10,Thumbnail re-upload,creator_cliffside,Ops Support,20,Closed
TCK-1132,2026-01-23,Tax form (W-9/W-8),creator_dewpoint,Ops Support,30,Closed
TCK-1133,2026-02-07,Login issue,creator_eaglecrest,Ops Support,10,Closed
TCK-1134,2026-02-20,Thumbnail re-upload,creator_fogbank,Ops Support,15,Closed
TCK-1135,2026-03-06,Payout question,creator_glacierway,Ops Support,40,Closed
TCK-1136,2026-03-13,Tax form (W-9/W-8),creator_havenport,Ops Support,30,Closed
TCK-1137,2026-01-17,Thumbnail re-upload,creator_inglewood,Ops Support,20,Closed
TCK-1138,2026-02-14,Thumbnail re-upload,creator_jackpine,Ops Support,15,Closed
TCK-1139,2026-03-04,Account access,creator_kindling,Ops Support,25,Closed
TCK-1140,2026-03-21,Tax form (W-9/W-8),creator_lavendermist,Ops Support,30,Closed
